,광역시도,시군구,응답자수 (명),조율 (%)
0,서울특별시,소계,16047,16.9
1,서울특별시,강남구,705,13.2
2,서울특별시,강동구,643,19.1
3,서울특별시,강북구,611,21.4
4,서울특별시,강서구,667,14.6
5,서울특별시,관악구,669,13.9
6,서울특별시,광진구,642,18.7
7,서울특별시,구로구,666,15.1
8,서울특별시,금천구,616,19.2
9,서울특별시,노원구,591,18.7
10,서울특별시,도봉구,638,17.1
11,서울특별시,동대문구,685,25.3
12,서울특별시,동작구,582,16.4
13,서울특별시,마포구,696,14.6
14,서울특별시,서대문구,586,19.7
15,서울특별시,서초구,610,12.7
16,서울특별시,성동구,697,18.1
17,서울특별시,성북구,693,14.6
18,서울특별시,송파구,714,16.9
19,서울특별시,양천구,700,14.9
20,서울특별시,영등포구,682,16.4
21,서울특별시,용산구,583,16.1
22,서울특별시,은평구,556,19.1
23,서울특별시,종로구,624,21.1
24,서울특별시,중구,548,19.8
25,서울특별시,중랑구,643,18.4
26,부산광역시,소계,9784,17.5
27,부산광역시,강서구,654,22.2
28,부산광역시,금정구,672,16.1
29,부산광역시,기장군,630,13.5
30,부산광역시,남구,650,19.8
31,부산광역시,동구,534,15.4
32,부산광역시,동래구,648,14.9
33,부산광역시,부산진구,599,17.3
34,부산광역시,북구,641,22.7
35,부산광역시,사상구,614,21.3
36,부산광역시,사하구,630,19.5
37,부산광역시,서구,521,17.5
38,부산광역시,수영구,596,14.5
39,부산광역시,연제구,635,12.3
40,부산광역시,영도구,578,17.2
41,부산광역시,중구,618,20.2
42,부산광역시,해운대구,564,15.9
43,대구광역시,소계,5043,15.4
44,대구광역시,남구,540,14.0
45,대구광역시,달서구,715,13.4
46,대구광역시,달성군,610,19.1
47,대구광역시,동구,658,18.2
48,대구광역시,북구,637,14.3
49,대구광역시,서구,653,19.4
50,대구광역시,수성구,602,13.8
51,대구광역시,중구,628,14.5
52,인천광역시,소계,6022,18.7
53,인천광역시,강화군,419,17.7
54,인천광역시,계양구,643,18.8
55,인천광역시,미추홀구,644,21.5
56,인천광역시,남동구,646,18.5
57,인천광역시,동구,542,22.6
58,인천광역시,부평구,663,17.8
59,인천광역시,서구,670,16.3
60,인천광역시,연수구,685,20.3
61,인천광역시,옹진군,519,32.2
62,인천광역시,중구,591,16.9
63,광주광역시,소계,3163,16.7
64,광주광역시,광산구,662,16.2
65,광주광역시,남구,563,12.1
66,광주광역시,동구,594,16.7
67,광주광역시,북구,672,18.1
68,광주광역시,서구,672,18.3
69,대전광역시,소계,3031,15.1
70,대전광역시,대덕구,635,19.3
71,대전광역시,동구,609,17.1
72,대전광역시,서구,596,11.3
73,대전광역시,유성구,606,12.2
74,대전광역시,중구,585,21.2
75,울산광역시,소계,3416,18.7
76,울산광역시,남구,698,18.9
77,울산광역시,동구,701,21.1
78,울산광역시,북구,734,16.8
79,울산광역시,울주군,602,19.0
80,울산광역시,중구,681,18.1
81,세종특별자치시,소계,613,14.2
82,세종특별자치시,세종시,613,14.2
83,경기도,소계,29711,17.8
84,경기도,가평군,561,24.6
85,경기도,고양시,2089,15.0
86,경기도,고양시 덕양구,725,15.3
87,경기도,고양시 일산동구,675,15.8
88,경기도,고양시 일산서구,689,13.8
89,경기도,과천시,656,8.2
90,경기도,구리시,633,23.3
91,경기도,김포시,619,13.2
92,경기도,남양주시,1221,16.9
93,경기도,남양주시 남양주,630,16.4
94,경기도,남양주시 남양주 풍양,591,17.9
95,경기도,동두천시,525,20.6
96,경기도,부천시,1943,19.5
97,경기도,부천시 소사구,660,18.9
98,경기도,부천시 오정구,662,22.8
99,경기도,부천시 원미구,621,18.1
100,경기도,양주시,562,21.1
101,경기도,양평군,545,16.7
102,경기도,여주시,568,14.5
103,경기도,연천군,517,21.8
104,경기도,의정부시,661,22.3
105,경기도,이천시,610,19.8
106,경기도,파주시,580,18.5
107,경기도,포천시,545,20.9
108,경기도,하남시,640,18.4
109,경기도,광명시,642,19.1
110,경기도,광주시,716,22.9
111,경기도,군포시,673,15.8
112,경기도,성남시,2051,18.6
113,경기도,성남시 분당구,698,14.4
114,경기도,성남시 수정구,693,23.0
115,경기도,성남시 중원구,660,22.8
116,경기도,수원시,2777,15.3
117,경기도,수원시 권선구,701,15.9
118,경기도,수원시 영통구,732,14.3
119,경기도,수원시 장안구,702,17.7
120,경기도,수원시 팔달구,642,11.8
121,경기도,시흥시,701,20.0
122,경기도,안산시,1387,21.6
123,경기도,안산시 단원구,687,23.1
124,경기도,안산시 상록구,700,20.4
125,경기도,안성시,627,21.3
126,경기도,안양시,1393,14.8
127,경기도,안양시 동안구,717,13.3
128,경기도,안양시 만안구,676,16.7
129,경기도,오산시,701,20.5
130,경기도,용인시,1934,17.0
131,경기도,용인시 기흥구,629,15.6
132,경기도,용인시 수지구,694,12.2
133,경기도,용인시 처인구,611,26.3
134,경기도,의왕시,698,13.3
135,경기도,평택시,1216,18.7
136,경기도,평택시 송탄,646,17.2
137,경기도,평택시 평택,570,19.5
138,경기도,화성시,720,16.1
139,강원도,소계,9904,21.0
140,강원도,강릉시,599,18.3
141,강원도,고성군,533,20.4
142,강원도,동해시,523,26.1
143,강원도,삼척시,568,21.1
144,강원도,속초시,532,18.0
145,강원도,양구군,549,18.0
146,강원도,양양군,505,20.4
147,강원도,영월군,555,22.2
148,강원도,원주시,621,21.3
149,강원도,인제군,558,22.4
150,강원도,정선군,515,20.4
151,강원도,철원군,496,27.5
152,강원도,춘천시,578,20.1
153,강원도,태백시,602,27.6
154,강원도,평창군,598,21.6
155,강원도,홍천군,545,21.3
156,강원도,화천군,528,21.9
157,강원도,횡성군,499,20.8
158,충청북도,소계,7953,22.0
159,충청북도,괴산군,480,18.8
160,충청북도,단양군,479,23.1
161,충청북도,보은군,518,20.7
162,충청북도,영동군,462,14.9
163,충청북도,옥천군,524,17.0
164,충청북도,음성군,548,22.5
165,충청북도,제천시,551,27.1
166,충청북도,증평군,623,21.2
167,충청북도,진천군,566,21.7
168,충청북도,청주시,2633,22.3
169,충청북도,청주시 상당구,638,22.0
170,충청북도,청주시 서원구,636,22.5
171,충청북도,청주시 흥덕구,719,23.9
172,충청북도,청주시 청원구,640,19.9
173,충청북도,충주시,569,21.0
174,충청남도,소계,7862,19.5
175,충청남도,계룡시,583,16.8
176,충청남도,공주시,471,20.3
177,충청남도,금산군,512,18.2
178,충청남도,논산시,506,16.4
179,충청남도,당진시,565,24.2
180,충청남도,보령시,501,14.2
181,충청남도,부여군,447,18.3
182,충청남도,서산시,592,20.8
183,충청남도,서천군,470,11.7
184,충청남도,아산시,651,19.7
185,충청남도,예산군,516,18.6
186,충청남도,천안시,672,19.9
187,충청남도,청양군,457,22.1
188,충청남도,태안군,405,22.7
189,충청남도,홍성군,514,18.7
190,전라북도,소계,6488,17.3
191,전라북도,고창군,453,15.1
192,전라북도,군산시,505,16.2
193,전라북도,김제시,408,21.1
194,전라북도,남원시,484,19.1
195,전라북도,무주군,460,17.9
196,전라북도,부안군,445,20.1
197,전라북도,순창군,410,28.9
198,전라북도,완주군,489,24.3
199,전라북도,익산시,561,14.3
200,전라북도,임실군,414,21.0
201,전라북도,장수군,402,15.4
202,전라북도,전주시,570,16.7
203,전라북도,정읍시,448,20.3
204,전라북도,진안군,439,9.4
205,전라남도,소계,10059,20.3
206,전라남도,강진군,432,20.2
207,전라남도,고흥군,410,14.5
208,전라남도,곡성군,377,14.6
209,전라남도,광양시,602,20.5
210,전라남도,구례군,455,19.0
211,전라남도,나주시,550,16.3
212,전라남도,담양군,501,18.7
213,전라남도,목포시,510,25.9
214,전라남도,무안군,466,12.5
215,전라남도,보성군,382,20.9
216,전라남도,순천시,584,20.9
