,광역시도,시군구,응답자수 (명),조율 (%)
0,서울특별시,소계,22928,16.7
1,서울특별시,강남구,922,14.6
2,서울특별시,강동구,920,18.5
3,서울특별시,강북구,919,19.8
4,서울특별시,강서구,919,17.1
5,서울특별시,관악구,916,17.4
6,서울특별시,광진구,917,21.0
7,서울특별시,구로구,915,15.8
8,서울특별시,금천구,916,19.0
9,서울특별시,노원구,918,18.8
10,서울특별시,도봉구,916,15.7
11,서울특별시,동대문구,917,17.5
12,서울특별시,동작구,915,15.5
13,서울특별시,마포구,917,16.5
14,서울특별시,서대문구,916,17.1
15,서울특별시,서초구,916,12.3
16,서울특별시,성동구,915,19.2
17,서울특별시,성북구,917,17.6
18,서울특별시,송파구,923,14.5
19,서울특별시,양천구,915,15.6
20,서울특별시,영등포구,916,16.2
21,서울특별시,용산구,919,11.3
22,서울특별시,은평구,915,15.1
23,서울특별시,종로구,914,17.9
24,서울특별시,중구,916,17.5
25,서울특별시,중랑구,919,20.1
26,부산광역시,소계,14510,17.7
27,부산광역시,강서구,901,20.0
28,부산광역시,금정구,909,18.2
29,부산광역시,기장군,906,17.4
30,부산광역시,남구,910,15.9
31,부산광역시,동구,904,16.8
32,부산광역시,동래구,909,14.7
33,부산광역시,부산진구,910,18.5
34,부산광역시,북구,909,17.6
35,부산광역시,사상구,909,18.6
36,부산광역시,사하구,910,18.6
37,부산광역시,서구,905,18.6
38,부산광역시,수영구,908,17.9
39,부산광역시,연제구,909,15.5
40,부산광역시,영도구,906,21.1
41,부산광역시,중구,895,23.6
42,부산광역시,해운대구,910,17.3
43,대구광역시,소계,7291,18.5
44,대구광역시,남구,911,18.9
45,대구광역시,달서구,914,19.6
46,대구광역시,달성군,912,22.0
47,대구광역시,동구,913,18.5
48,대구광역시,북구,913,17.4
49,대구광역시,서구,911,22.7
50,대구광역시,수성구,913,14.4
51,대구광역시,중구,904,18.1
52,인천광역시,소계,8971,19.9
53,인천광역시,강화군,893,18.3
54,인천광역시,계양구,901,19.8
55,인천광역시,미추홀구,902,26.1
56,인천광역시,남동구,903,19.1
57,인천광역시,동구,895,21.5
58,인천광역시,부평구,905,21.0
59,인천광역시,서구,902,16.5
60,인천광역시,연수구,904,17.7
61,인천광역시,옹진군,867,26.0
62,인천광역시,중구,899,18.3
63,광주광역시,소계,4568,18.6
64,광주광역시,광산구,915,21.5
65,광주광역시,남구,915,18.4
66,광주광역시,동구,909,17.9
67,광주광역시,북구,915,16.8
68,광주광역시,서구,914,17.8
69,대전광역시,소계,4576,18.2
70,대전광역시,대덕구,914,21.8
71,대전광역시,동구,916,18.3
72,대전광역시,서구,917,17.8
73,대전광역시,유성구,913,15.9
74,대전광역시,중구,916,19.1
75,울산광역시,소계,4551,19.1
76,울산광역시,남구,912,17.0
77,울산광역시,동구,909,24.4
78,울산광역시,북구,911,18.6
79,울산광역시,울주군,909,20.4
80,울산광역시,중구,910,17.6
81,세종특별자치시,소계,916,15.7
82,세종특별자치시,세종시,916,15.7
83,경기도,소계,41867,19.5
84,경기도,가평군,901,19.7
85,경기도,고양시,2758,18.8
86,경기도,고양시 덕양구,922,21.9
87,경기도,고양시 일산동구,916,17.7
88,경기도,고양시 일산서구,920,15.2
89,경기도,과천시,916,11.2
90,경기도,구리시,911,16.9
91,경기도,김포시,910,16.3
92,경기도,남양주시,1801,19.1
93,경기도,남양주시 남양주,910,18.4
94,경기도,남양주시 남양주 풍양,891,20.4
95,경기도,동두천시,906,26.4
96,경기도,부천시,2733,19.3
97,경기도,부천시 소사구,912,20.1
98,경기도,부천시 오정구,911,21.8
99,경기도,부천시 원미구,910,17.5
100,경기도,양주시,909,22.3
101,경기도,양평군,906,16.5
102,경기도,여주시,909,18.2
103,경기도,연천군,898,23.1
104,경기도,의정부시,910,21.5
105,경기도,이천시,911,24.1
106,경기도,파주시,916,21.0
107,경기도,포천시,908,21.3
108,경기도,하남시,904,16.4
109,경기도,광명시,916,15.8
110,경기도,광주시,914,24.4
111,경기도,군포시,910,18.9
112,경기도,성남시,2733,18.0
113,경기도,성남시 분당구,912,12.4
114,경기도,성남시 수정구,911,24.0
115,경기도,성남시 중원구,910,23.2
116,경기도,수원시,3647,19.6
117,경기도,수원시 권선구,913,20.3
118,경기도,수원시 영통구,914,16.5
119,경기도,수원시 장안구,909,22.0
120,경기도,수원시 팔달구,911,20.5
121,경기도,시흥시,910,24.5
122,경기도,안산시,1822,24.2
123,경기도,안산시 단원구,909,24.6
124,경기도,안산시 상록구,913,23.8
125,경기도,안성시,908,19.4
126,경기도,안양시,1819,16.9
127,경기도,안양시 동안구,910,14.8
128,경기도,안양시 만안구,909,19.5
129,경기도,오산시,909,21.6
130,경기도,용인시,2730,15.2
131,경기도,용인시 기흥구,911,13.1
132,경기도,용인시 수지구,910,10.8
133,경기도,용인시 처인구,909,24.4
134,경기도,의왕시,911,15.6
135,경기도,평택시,1821,20.6
136,경기도,평택시 송탄,909,24.5
137,경기도,평택시 평택,912,18.7
138,경기도,화성시,910,21.6
139,강원도,소계,15817,19.2
140,강원도,강릉시,891,19.7
141,강원도,고성군,873,21.3
142,강원도,동해시,889,18.2
143,강원도,삼척시,887,22.9
144,강원도,속초시,885,19.5
145,강원도,양구군,861,20.1
146,강원도,양양군,868,17.2
147,강원도,영월군,875,20.9
148,강원도,원주시,892,20.0
149,강원도,인제군,871,24.8
150,강원도,정선군,875,20.5
151,강원도,철원군,878,19.6
152,강원도,춘천시,893,15.3
153,강원도,태백시,879,24.5
154,강원도,평창군,877,19.4
155,강원도,홍천군,882,18.3
156,강원도,화천군,863,19.4
157,강원도,횡성군,878,20.0
158,충청북도,소계,12485,20.8
159,충청북도,괴산군,881,19.5
160,충청북도,단양군,881,19.6
161,충청북도,보은군,885,16.8
162,충청북도,영동군,887,18.4
163,충청북도,옥천군,889,20.2
164,충청북도,음성군,892,22.2
165,충청북도,제천시,896,18.8
166,충청북도,증평군,885,23.8
167,충청북도,진천군,889,23.1
168,충청북도,청주시,3602,20.4
169,충청북도,청주시 상당구,900,20.6
170,충청북도,청주시 서원구,901,19.3
171,충청북도,청주시 흥덕구,901,19.9
172,충청북도,청주시 청원구,900,21.9
173,충청북도,충주시,898,23.8
174,충청남도,소계,13483,20.4
175,충청남도,계룡시,893,14.6
176,충청남도,공주시,907,17.0
177,충청남도,금산군,891,20.4
178,충청남도,논산시,913,20.7
179,충청남도,당진시,900,23.0
180,충청남도,보령시,907,17.3
181,충청남도,부여군,899,13.2
182,충청남도,서산시,899,22.2
183,충청남도,서천군,896,17.0
184,충청남도,아산시,903,21.7
185,충청남도,예산군,896,17.0
186,충청남도,천안시,903,22.6
187,충청남도,청양군,886,16.6
188,충청남도,태안군,894,16.7
189,충청남도,홍성군,896,17.7
190,전라북도,소계,12421,17.2
191,전라북도,고창군,898,14.4
192,전라북도,군산시,899,22.5
193,전라북도,김제시,893,16.3
194,전라북도,남원시,893,21.2
195,전라북도,무주군,871,15.9
196,전라북도,부안군,889,19.4
197,전라북도,순창군,873,18.1
198,전라북도,완주군,894,18.6
199,전라북도,익산시,899,13.8
200,전라북도,임실군,876,14.1
201,전라북도,장수군,867,17.0
202,전라북도,전주시,902,15.8
203,전라북도,정읍시,895,18.9
204,전라북도,진안군,872,17.2
205,전라남도,소계,19527,18.5
206,전라남도,강진군,882,16.0
207,전라남도,고흥군,892,12.2
208,전라남도,곡성군,876,17.4
209,전라남도,광양시,896,20.8
210,전라남도,구례군,873,16.6
211,전라남도,나주시,892,18.2
212,전라남도,담양군,887,17.6
213,전라남도,목포시,898,17.8
214,전라남도,무안군,891,18.7
215,전라남도,보성군,884,18.8
216,전라남도,순천시,898,19.0
217,전라남도,신안군,884,21.6
218,전라남도,여수시,898,18.8
219,전라남도,영광군,887,19.8
220,전라남도,영암군,887,21.2
221,전라남도,완도군,887,21.9
222,전라남도,장성군,891,17.3
223,전라남도,장흥군,882,17.5
224,전라남도,진도군,878,19.8
225,전라남도,함평군,880,16.0
226,전라남도,해남군,892,18.2
227,전라남도,화순군,892,16.6
228,경상북도,소계,22182,19.6
229,경상북도,경산시,898,18.6
230,경상북도,경주시,902,18.2
231,경상북도,고령군,884,23.0
232,경상북도,구미시,1790,22.6
233,경상북도,구미시 구미,899,23.2
234,경상북도,구미시 선산,891,20.2
235,경상북도,군위군,871,20.4
236,경상북도,김천시,897,19.5
237,경상북도,문경시,890,16.9
238,경상북도,봉화군,878,20.8
239,경상북도,상주시,904,17.3
240,경상북도,성주군,884,21.2
241,경상북도,안동시,897,16.0
242,경상북도,영덕군,886,15.9
243,경상북도,영양군,864,17.1
