지역별,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울,470912.3333,447892,445022.5,454295.8333,468677.5,484823,576621.5,647371.0833,693632.1667,744852.7143
경기,268512.9167,255674.5,260287.4167,263318,270389.8333,276020.3333,300697.0833,319955.6667,357853.0833,411719.8571
인천,190322.5,182960.5833,189538.5833,193661.5,196058.9167,200360.4167,214859.9167,226395.4167,257562.75,294917.1429
부산,192383.8333,187918.5833,190090.0833,196434.3333,204957.25,216682.8333,247442.3333,246349,261897.8333,302229.5714
대구,165820.6667,173595.75,188890.8333,214495.4167,231217.5833,235100.6667,266624.6667,286268.4167,301799.8333,338705
광주,134370.8333,136045.75,138741.25,155250.8333,170748.9167,174749.3333,209404.0833,235684.0833,239360.4167,252190
대전,193437.4167,189449.75,192209.6667,200736.4167,209879.1667,214789.4167,224571.9167,250136.4167,296794.3333,334371
울산,209427.3333,208592,209553.25,224124,238508.25,240368.6667,249331.0833,242629.9167,255253.3333,285063.1429
세종,12513.5,154218.1667,160109.75,176995.8333,198060.1667,225823.8333,288625.75,324877.9167,431001,517597.8571
강원,115920.3333,115430.4167,116631.25,121708.5,127557.0833,131069.3333,146120.5833,151446.75,153527.5833,160288.4286
충북,132268.75,133285.9167,135233,137684.3333,136586.25,137037.9167,145196.4167,146481.75,150998.5833,164211
충남,127471.4167,132251.4167,138308.5,136313.3333,131961.5833,131291.5833,137058.1667,148360.5,153323.75,168287.1429
전북,108044.0833,104852.0833,104832.75,110126.1667,115889.3333,119274.9167,141598,143759.6667,146834.4167,154427.1429
전남,85327.08333,84748.91667,84287.25,88516.41667,93272.91667,96824.16667,108254.4167,120461.9167,123512.1667,130188.8571
경북,113709.0833,117875.6667,123166.3333,127071.8333,126780.5833,125778.1667,130241.5,132121.5833,133795.1667,142326
경남,162157.5,160463.4167,163420.5833,171038.5833,175817.75,175557.5,176949.5833,175894.5833,178287.25,192069.8571
제주,137843,137825.1667,140588,164647.9167,207546.25,238004.75,274980.1667,311670.1667,301526.8333,298895
