,시도별,2012,2013,2014,2015,2016,2017,2018,2019
2,서 울,31.2,32.8,33.5,33.8,35.2,39.1,41.1,45.1
3,부 산,23,22.9,22.7,23.4,25.6,27.6,27.6,31.6
4,대 구,24.8,24.2,24.2,24.4,26.5,30,30.3,32.9
5,인 천,20.3,20.8,21.1,21.3,23.2,25.1,27.7,31.3
6,광 주,23.1,23.9,23.1,22.8,22.8,24.5,26.2,27.6
7,대 전,24.3,25.9,25.7,25.4,25.7,27.6,27,31.1
8,울 산,22.4,22.4,22.2,21.9,23.9,23.6,26.5,27.4
9,세 종,0,0,18.6,19.6,23.7,26.2,28.8,34.1
10,경 기,24.9,25.3,26,26.5,27.9,28.7,32.1,35.8
11,강 원,18.2,17.2,16.7,17.1,18.4,20.3,20.5,22
12,충 북,17.7,18.8,18.8,19,19.7,19,24.4,24.3
13,충 남,17.7,17.4,18.1,18,17.7,18.8,18.7,23.7
14,전 북,17.9,17.5,18.3,18.6,19.4,20.3,20.9,23.9
15,전 남,17.2,16.8,16.4,16.5,16.2,15.8,19,18.1
16,경 북,19.5,18.7,19.1,19,19.3,20.6,21.4,22.5
17,경 남,21.2,20.8,20.3,20.4,20.9,22.1,22.6,24.8
18,제 주,20.3,19.6,19.9,20.1,22.6,22.4,23.2,25.8
