,기사작성일,기사제목,기사주소
0,2020.12.22.,"'사이버범죄 증거, 온라인으로 제출'… 경찰, 시스템 개편",http://www.fnnews.com/news/202012221143144211
1,2020.12.23.,"경찰청, 사이버범죄 신고시스템 개편… 기계적 출석요구 대폭 줄여",http://moneys.mt.co.kr/news/mwView.php?no=2020122220088061089
2,2020.12.08.,비대면을 재료로…진화하는 중고사기,https://view.asiae.co.kr/article/2020120813424832639
3,2020.12.02.,"토스, 경찰청과 손잡고 `사기의심 사이렌` 강화",http://www.edaily.co.kr/news/newspath.asp?newsid=01981126625994584
4,2020.12.24.,"사이버범죄 신고시스템 전면 개편, “온라인으로 증거 제출”",http://www.gosiweek.com/13576
5,2020.12.02.,"몸캠피싱 보안 전문 ‘올세이프’, 피씽 사기 조직 패턴 파악하여 사후 관리 진행한다",http://www.kjdaily.com/read.php3?aid=1606870800531921203
6,2020.12.01.,[온라인 사기 기승] 아이템·계정·캐릭터로 유혹하고… 돈만 챙겨 잠적,http://www.goodmorningcc.com/news/articleView.html?idxno=242500
7,2020.12.31.,"미국 재무부의 코로나 관련 랜섬웨어 경고, 어떤 의미인가?",http://www.boannews.com/media/view.asp?idx=93883&kind=
8,2020.11.16.,"사이버사기 병합 수사, 메신저·몸캠 피싱 등으로 확대",https://www.sedaily.com/NewsView/1ZAFHM805Q
9,2020.10.27.,"경기 수원중부경찰서, 사이버 사기조직 13명 검거…4명 구속",http://www.upinews.kr/newsView/upi202010270048
10,2020.12.31.,"천안,  충남 청소년 '성관계', '음주'에 후한 태도",http://www.ccdailynews.com/news/articleView.html?idxno=2026215
11,2020.10.02.,추석연휴 사이버 사기·강력 범죄 3년새 급증,http://www.enewstoday.co.kr/news/articleView.html?idxno=1418269
12,2020.10.01.,추석 연휴 범죄 활개…사이버 사기 171% 증가,http://www.edaily.co.kr/news/newspath.asp?newsid=01295606625928656
13,2020.10.01.,추석에 '사기' 조심하세요…언택트 거래에 사이버사기 기승,http://www.newspost.kr/news/articleView.html?idxno=90555
14,2020.09.30.,"충북경찰, 추석 연휴 사이버 사기범죄 주의보",https://www.nocutnews.co.kr/news/5421444
15,2020.11.29.,[온라인 사기 기승] 메신저부터 몸캠까지… 피해자 40% 청소년,http://www.goodmorningcc.com/news/articleView.html?idxno=242396
16,2020.09.25.,"[기고] 추석 명절 전후, 사이버 사기 피해 예방법",http://www.nbnnews.co.kr/news/articleView.html?idxno=427981
17,2020.12.30.,"충남청소년 10명 중 3명 ""성관계 할 수 있다""",http://www.jbnews.com/news/articleView.html?idxno=1320909
18,2020.09.22.,"경찰청, 추석 이슈 악용한 사이버사기 주의 당부",http://www.epnc.co.kr/news/articleView.html?idxno=104656
19,2020.09.27.,"부안署 서림지구대, 메신져피싱·택배 사칭 사기 등 사이버 사기범죄 예방 앞장",http://www.jeollailbo.com/news/articleView.html?idxno=608990
20,2020.09.21.,"경찰청, 관계기관·기업과 힘 모아 추석 전후 사이버사기 예방 집중",https://www.dailysecu.com/news/articleView.html?idxno=113943
21,2020.09.20.,인천 '사이버 사기' 급증…추석선물 구매 사기 주의보,http://www.kyeonggi.com/news/articleView.html?idxno=2318386
22,2020.11.25.,"[온라인 사기 기승] ""코로나19 위험하니 택배로 거래해요~""",http://www.goodmorningcc.com/news/articleView.html?idxno=242207
23,2020.11.30.,계모임·투자설명회… 진화하는 사기 수법에 맥 못추는 경찰 [대한민국은 '사기 공화국'인가],http://www.fnnews.com/news/202011301723479724
24,2020.09.13.,추석 대목 노린 사이버 사기 `주의보',http://www.cctimes.kr/news/articleView.html?idxno=627387
25,2020.09.13.,추석 앞두고 사이버 사기 기승,http://www.ccdn.co.kr/news/articleView.html?idxno=663921
26,2020.09.12.,"충북경찰, 추석 명절 전후 사이버 사기 '주의'",http://www.newsis.com/view/?id=NISX20200911_0001163382&cID=10806&pID=10800
27,2020.11.28.,"몸캠피싱 대처 전문 '올세이프', 피씽 사기 조직 패턴 파악해 사후 관리 진행해",http://www.cctvnews.co.kr/news/articleView.html?idxno=214762
28,2020.11.13.,기고-사기도 보이면 일단 멈춤,http://www.gndomin.com/news/articleView.html?idxno=259003
29,2020.11.17.,"몸캠피싱 전문 업체 올세이프 ""스마트폰 피씽 사기 조직 행동 패턴 파악으로 대처 진행해야""",http://www.cctvnews.co.kr/news/articleView.html?idxno=213839
30,2020.08.04.,"경찰, 피싱범죄·사이버사기 등 5개 분야 주요 사건에 수사 집중",https://www.dailysecu.com/news/articleView.html?idxno=112029
31,2020.08.02.,"경찰, 7월 피싱·사이버사기 등 '서민경제 침해' 63건 집중 수사…290명 검거",https://view.asiae.co.kr/article/2020080207472719309
32,2020.08.02.,지난달 민생침해범죄자 7834명 검거… 사이버사기 가장 많아,http://www.newscj.com/news/articleView.html?idxno=764497
33,2020.11.08.,"자연스럽게 다가온 외국인의 꼬임, 사기 늪이었다",https://news.sbs.co.kr/news/endPage.do?news_id=N1006063764&plink=ORI&cooper=NAVER
34,2020.11.08.,"몸캠피싱 전문 업체 '올세이프', 스마트폰 피씽 사기 조직 패턴 파악하여 사후관리 진행",http://www.cctvnews.co.kr/news/articleView.html?idxno=213164
35,2020.10.14.,코로나 때문에 사이버 피해 늘어나자 미국서는 핫라인 증가 중,http://www.boannews.com/media/view.asp?idx=91770&kind=
